dataset,S,G,Prec,Rec,F1,eTaP,eTaR,eTaF1,FPA,Scen,num_monitored,num_sensors,num_actuators
BATADAL,0.4,20.0,17.425015302999388,94.9944382647386,29.448275862068968,7.503072222415754,97.70038079954493,13.935911650038443,839.0,100.0,42,30,12
BATADAL,0.4,25.0,17.311980539225623,94.9944382647386,29.286694101508914,7.179705857144753,97.70038079954493,13.376419082640478,820.0,100.0,42,30,12
BATADAL,0.5,0.1,19.494266392237577,73.74860956618465,30.83720930232558,12.44580485327591,88.59571203872116,21.82558173685306,1460.0,100.0,42,30,12
BATADAL,0.5,0.5,19.6,76.30700778642937,31.188906569674923,12.11436374945989,89.73701950278698,21.346924535267046,1422.0,100.0,42,30,12
BATADAL,0.5,1.0,19.57871995679179,80.64516129032258,31.508039982616253,11.341441008471943,91.46830759159786,20.180623507412584,1355.0,100.0,42,30,12
BATADAL,0.5,1.5,19.359834796076406,83.42602892102336,31.426775612822123,10.927902235337667,92.60824554118628,19.54899569268494,1260.0,100.0,42,30,12
BATADAL,0.5,2.0,19.62448559670782,84.87208008898777,31.878002924587424,10.525940359295705,93.25813782215758,18.916766693610846,1260.0,100.0,42,30,12
BATADAL,0.5,2.16,19.748653500897667,85.65072302558399,32.09670696123384,10.305794925413391,93.60217986167835,18.56729230268767,1258.0,100.0,42,30,12
BATADAL,0.5,2.5,19.841269841269842,86.20689655172413,32.25806451612903,10.045724466008624,93.81182488990241,18.148083607631794,1258.0,100.0,42,30,12
BATADAL,0.5,3.0,20.05095541401274,87.54171301446051,32.62852404643449,9.404750593292563,94.32902412936608,17.104187098506994,1253.0,100.0,42,30,12
BATADAL,0.5,3.5,20.157600406710728,88.2091212458287,32.816056279743435,9.080582149134017,94.5727817015811,16.57015038219429,1252.0,100.0,42,30,12
BATADAL,0.5,4.0,20.248352762290928,88.87652947719688,32.98245614035088,9.013021867670751,94.79502886930699,16.460951960466772,1247.0,100.0,42,30,12
BATADAL,0.5,4.5,20.283616105343125,89.09899888765295,33.04455445544555,8.986624723360846,94.87213925891737,16.41807161055371,1246.0,100.0,42,30,12
BATADAL,0.5,5.0,20.35867643344279,89.65517241379311,33.182379580074105,8.7172188186693,95.14297259225071,15.971126181808732,1244.0,100.0,42,30,12
BATADAL,0.5,6.0,20.38712921065862,90.21134593993327,33.258150502358006,8.651387087840854,95.37919470347282,15.863841560774256,1238.0,100.0,42,30,12
BATADAL,0.5,7.0,20.410718757826196,90.65628476084538,33.31970564186427,8.738179351146254,95.62594795022606,16.013101540139342,1228.0,100.0,42,30,12
BATADAL,0.5,8.0,20.42957042957043,90.98998887652948,33.36732612686111,8.57858488996932,95.84916223594036,15.747733672393792,1224.0,100.0,42,30,12
BATADAL,0.5,9.0,20.358387257341963,90.98998887652948,33.272320520642666,8.647282729022763,95.84916223594036,15.863406749809528,1214.0,100.0,42,30,12
BATADAL,0.5,10.0,20.37174721189591,91.43492769744161,33.31982164572355,8.379985704690828,96.19142414070227,15.416886133690188,1206.0,100.0,42,30,12
BATADAL,0.5,12.0,20.349839862034987,91.87986651835372,33.31988705123033,8.133984865508232,96.39975747403558,15.0021256444743,1195.0,100.0,42,30,12
BATADAL,0.5,15.0,20.274240940254654,92.1023359288098,33.232992173389526,8.182861390461662,96.50392414070225,15.086493120832644,1181.0,100.0,42,30,12
BATADAL,0.5,20.0,20.072551390568318,92.32480533926585,32.97576479936432,7.751600389929823,96.62297175974987,14.351822482107371,1153.0,100.0,42,30,12
BATADAL,0.5,25.0,19.889767553318954,92.32480533926585,32.72870662460568,7.896461177133367,96.62297175974987,14.599764347762267,1132.0,100.0,42,30,12
BATADAL,0.6,0.1,19.857936998147004,71.52391546162403,31.08532753202804,12.786431520220754,87.69207299792407,22.3185783194389,1489.0,100.0,42,30,12
BATADAL,0.6,0.5,20.250076242756936,73.85984427141268,31.78554332216372,12.501547150984285,88.79082809287976,21.917201986934707,1480.0,100.0,42,30,12
BATADAL,0.6,1.0,20.553129548762737,78.53170189098999,32.57960313797877,11.746619664640718,90.71105009478869,20.79977433305991,1433.0,100.0,42,30,12
BATADAL,0.6,1.5,20.92157985117344,81.31256952169078,33.28021852947872,11.211996985808817,91.8381153421047,19.98423192633678,1430.0,100.0,42,30,12
BATADAL,0.6,2.0,21.196581196581196,82.75862068965517,33.74914946699932,10.847598061104621,92.48800762307602,19.417754906934217,1430.0,100.0,42,30,12
BATADAL,0.6,2.16,21.3291678500426,83.53726362625139,33.98190045248869,10.584023359448254,92.81509852862436,19.001267186772296,1429.0,100.0,42,30,12
BATADAL,0.6,2.5,21.511463345598642,84.53837597330367,34.29602888086642,10.39880658727482,93.18814398620631,18.709798486678455,1428.0,100.0,42,30,12
BATADAL,0.6,3.0,21.750140686550363,85.98442714126807,34.71816752750954,9.837002679703462,93.72180725809146,17.805180837792236,1422.0,100.0,42,30,12
BATADAL,0.6,3.5,21.885521885521886,86.76307007786428,34.95406677123011,9.517468015838352,94.00127911602077,17.284872396978244,1421.0,100.0,42,30,12
BATADAL,0.6,4.0,22.023476802683064,87.65294771968854,35.20214429305339,9.224826142837685,94.29398773718684,16.805556605363435,1416.0,100.0,42,30,12
BATADAL,0.6,4.5,22.06087685004189,87.87541713014461,35.267857142857146,9.199104586563426,94.37109812679722,16.76408037975691,1415.0,100.0,42,30,12
BATADAL,0.6,5.0,22.13251670378619,88.43159065628477,35.40414161656646,9.062119840876887,94.64193146013055,16.54046325296122,1413.0,100.0,42,30,12
