variant,S,G,num_monitored,monitored_sensors,monitored_actuators,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen,TP,FP,TN,FN,system_total_alarm_rate,system_benign_alarm_rate,system_attack_alarm_rate,system_num_alarm_intervals,system_longest_alarm_interval,threshold_min,threshold_max,growth_cap_min,growth_cap_max,max_test_cusum_max
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,2.5,39,14,25,53.37973320076228,62.43845706532274,57.55483092866396,38.404192273493855,64.28795413475719,48.08404610895147,3560.0,100.0,32212,28133,370195,19378,0.13412444045359376,0.07062772388584282,0.6243845706532274,5230,1154,1e-06,288.24154902704885,3.4999999999999995e-06,288.6594064514651,69.02534853531009
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,3.0,39,14,25,54.54941092355995,68.02868773018027,60.54792629908219,36.99856792446386,64.73456788424801,47.08566757304388,3373.0,100.0,35096,29242,369086,16494,0.1429993910001378,0.07341186158141029,0.6802868773018027,4739,1185,1e-06,288.24154902704885,4e-06,288.7429779363483,69.07957629694435
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,3.5,39,14,25,54.55381919088652,72.40356658267106,62.22388805597201,34.57545672800055,64.98249869504966,45.13551051065177,3244.0,100.0,37353,31117,367211,14237,0.15218328673224898,0.07811903757707216,0.7240356658267106,4331,1186,1e-06,288.24154902704885,4.5e-06,288.82654942123156,69.13380405857863
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,4.0,39,14,25,54.973246972683754,75.67745687148673,63.684854416442384,31.93915683918102,65.12919691109403,42.8599343572867,3208.0,100.0,39042,31978,366350,12548,0.15785098617970386,0.0802805727942801,0.7567745687148673,4068,1186,1e-06,288.24154902704885,4.9999999999999996e-06,288.9101209061148,69.1880318202129
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,4.5,39,14,25,54.46357329294186,78.06163985268462,64.16161487417651,28.093305756347714,65.30850978232678,39.286858038570614,3030.0,100.0,40272,33671,364657,11318,0.16434772558555114,0.08453083890662971,0.7806163985268463,3639,1187,1e-06,288.24154902704885,5.5e-06,288.99369239099804,69.24225958184716
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,5.0,39,14,25,54.451121052492255,79.74413646055437,64.71402504247152,24.982107142554906,65.42250835636038,36.157271490478244,2943.0,100.0,41140,34414,363914,10450,0.16792837806000205,0.08639613584784399,0.7974413646055437,3405,1187,1e-06,288.24154902704885,5.999999999999999e-06,289.07726387588133,69.29648734348145
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,5.98,39,14,25,53.63373020430561,81.46733863151773,64.68338553169222,17.68123558543063,65.61682698503029,27.856267972844467,2895.0,100.0,42029,36334,361994,9561,0.17417173796113958,0.09121628406740175,0.8146733863151774,3146,2042,1e-06,288.24154902704885,6.98e-06,289.24106398625247,69.40277375628462
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,6.0,39,14,25,53.62919685682213,81.49059895328551,64.68741825791263,17.591041585657557,65.6314150418179,27.74551480723796,2895.0,100.0,42041,36351,361977,9549,0.17423619415093416,0.09125896246309574,0.8149059895328552,3142,2042,1e-06,288.24154902704885,7e-06,289.2444068456478,69.40494286674999
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,7.0,39,14,25,52.57744764365388,82.04690831556503,64.08672480620154,12.26753735920158,65.79293550046809,20.679282731850662,2630.0,100.0,42328,38178,360150,9262,0.17893482812423597,0.09584563475326867,0.8204690831556504,2785,10065,1e-06,288.24154902704885,8e-06,289.4115498154143,69.51339839001852
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,8.0,39,14,25,51.616355719880325,82.26400465206434,63.43227812154366,10.543476837369566,69.39653795610701,18.30574568754171,2405.0,100.0,42440,39782,358546,9150,0.18274885645828795,0.09987246691169087,0.8226400465206435,2538,10070,1e-06,288.24154902704885,9e-06,289.57869278518075,69.62185391328707
