dataset,variant,S,G,point_kind,num_monitored,monitored_symbolic,monitored_persistence,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen,TP,FP,TN,FN
HAI,without_geco_ignored,0.6,1.5,grid,47,45,2,15.466939029264177,77.85850005588465,25.807168657960545,9.162698274308225,89.18802004965886,16.618138257132227,2321.0,100.0,6966,38072,354981,1981
HAI,without_geco_ignored,0.6,2.0,grid,47,45,2,15.152623314044783,78.73030065943892,25.414005844788395,9.010118552800852,89.6064759009745,16.373815693765614,2283.0,100.0,7044,39443,353610,1903
HAI,without_geco_ignored,0.6,2.5,grid,47,45,2,14.974918855119505,79.4120934391416,25.198162892557583,8.7227288009454,89.92836933432328,15.90293046994718,2204.0,100.0,7105,40341,352712,1842
HAI,without_geco_ignored,0.6,3.0,grid,47,45,2,14.840154248040802,80.00447077232592,25.03628827757472,8.354018992388648,90.21071767515464,15.291920300405264,2182.0,100.0,7158,41076,351977,1789
HAI,without_geco_ignored,0.6,3.5,grid,47,45,2,14.719305785800534,80.38448642002905,24.882369222252976,8.276642420902716,90.42572695567762,15.165216648586547,2163.0,100.0,7192,41669,351384,1755
HAI,without_geco_ignored,0.6,4.0,grid,47,45,2,14.616365955895755,80.67508662121381,24.748842791016628,7.96141545301888,90.5810650461703,14.636398177848228,2152.0,100.0,7218,42165,350888,1729
HAI,without_geco_ignored,0.6,4.5,grid,47,45,2,14.528457078660702,80.94333296076897,24.635166853760587,7.72083793636213,90.69137229664793,14.230213630418612,2131.0,100.0,7242,42605,350448,1705
HAI,without_geco_ignored,0.6,5.0,grid,47,45,2,14.449039646876368,81.22275623113893,24.533684441518545,7.784916747112856,90.84490460094716,14.34089628373222,2112.0,100.0,7267,43027,350026,1680
HAI,without_geco_ignored,0.6,6.0,grid,47,45,2,14.328287977413536,81.68101039454567,24.379910260045705,7.62669678659761,91.0447334496664,14.074399740118688,2115.0,100.0,7308,43696,349357,1639
HAI,without_geco_ignored,0.6,7.0,grid,47,45,2,14.20745988424985,82.0386721806192,24.2204256723313,7.557840548767243,91.21901904458518,13.959115602422624,2115.0,100.0,7340,44323,348730,1607
HAI,without_geco_ignored,0.6,8.0,grid,47,45,2,14.121048499818102,82.42986475913713,24.111550658776604,7.588963177098623,91.40042025023752,14.01431950850687,2115.0,100.0,7375,44852,348201,1572
HAI,without_geco_ignored,0.6,9.0,grid,47,45,2,14.056369529369398,82.88811892254387,24.03656046413639,7.473372050247678,91.59983740975576,13.819268971631772,2104.0,100.0,7416,45343,347710,1531
HAI,without_geco_ignored,0.6,10.0,grid,47,45,2,14.001954372909385,83.2793115010618,23.973230803880245,7.198365918372564,91.76788703189246,13.349577471492402,2096.0,100.0,7451,45763,347290,1496
HAI,without_geco_ignored,0.6,12.0,grid,47,45,2,13.937185557857354,84.21817368950487,23.916459030962848,6.949293180216415,92.17768242162248,12.924226446566829,2095.0,100.0,7535,46529,346524,1412
HAI,without_geco_ignored,0.6,15.0,grid,47,45,2,13.756872106481485,85.02291270817034,23.681957567361422,6.500212042131919,92.52738766013366,12.147070943932995,2089.0,100.0,7607,47689,345364,1340
HAI,without_geco_ignored,0.6,20.0,grid,47,45,2,13.442279122607708,85.96177489661339,23.24899489132735,5.786543329101082,92.9409389253542,10.894773326697084,2063.0,100.0,7691,49524,343529,1256
HAI,without_geco_ignored,0.6,25.0,grid,47,45,2,13.169680724731109,86.76651391527886,22.86833694195278,4.751274748528608,93.33774225574516,9.04226123185782,2065.0,100.0,7763,51183,341870,1184
HAI,without_geco_ignored,0.7,0.1,grid,47,45,2,30.060685891706264,71.42058790656087,42.31227651966627,12.596974182212092,85.11659545408675,21.94601137598016,2720.0,100.0,6390,14867,378186,2557
HAI,without_geco_ignored,0.7,0.5,grid,47,45,2,27.51159848165331,72.90711970492903,39.94855620540772,13.326837306394356,85.8482572515712,23.072037642686333,2026.0,100.0,6523,17187,375866,2424
HAI,without_geco_ignored,0.7,1.0,grid,47,45,2,25.559630223852093,74.78484408181514,38.098220640569394,16.176542836404145,86.70446175904858,27.26603312764711,1186.0,100.0,6691,19487,373566,2256
HAI,without_geco_ignored,0.7,1.5,grid,47,45,2,24.96125175289689,75.60076003129541,37.53086419753087,16.833420707354026,87.14479879116104,28.2163912324019,1083.0,100.0,6764,20334,372719,2183
